node_id,job_id,subjob_id,worker_count,subjob_throughput
222.74.153.82:7777,63ca3798-7166-4b9c-8859-ae752135a259,2be9eb4c-88c6-4127-86d1-d236b75d106b,10.0,11816976.196568323
222.74.153.82:7777,9a7d8296-9d9d-48c5-86af-21460bc4ba69,ae7c1df7-4ccd-4990-81e7-27102ae80c58,1.0,3447562.0910734837
222.74.153.82:7777,11603013-d76a-4ee8-a557-3531e27b0df1,7d6c4ee6-befa-49d5-a4f8-8ace85af09b4,1.0,2963251.0314813764
222.74.153.82:7777,11603013-d76a-4ee8-a557-3531e27b0df1,0d39341d-f7d8-42cb-ae20-aecb1c183be6,8.0,9845155.64467054
222.74.153.82:7777,11603013-d76a-4ee8-a557-3531e27b0df1,18ed96cd-946f-4f44-b0b1-161ca3398a12,10.0,11180162.362764928
222.214.219.199:7777,e7cfd0e0-cb64-4cb6-be33-e736988fd089,a602a371-dfa0-4af8-b434-692f153a4fe0,,
222.214.219.199:7777,e7cfd0e0-cb64-4cb6-be33-e736988fd089,835c57d6-bce6-4c93-8498-a9779133aa97,1.0,232319.29386293612
222.214.219.199:7777,e7cfd0e0-cb64-4cb6-be33-e736988fd089,d2e19aa5-8593-46b0-8733-e6cade2d302e,8.0,1328266.1132994196
222.214.219.199:7777,e7cfd0e0-cb64-4cb6-be33-e736988fd089,86f7ed84-9097-437c-90a8-2095ca85cb26,10.0,1502458.8569372206
222.214.219.199:7777,5ab38e34-c1a6-478e-ae9b-b502608205e5,bf3e55e2-0800-4e9d-a234-3bb4af8e659e,,
222.214.219.199:7777,5ab38e34-c1a6-478e-ae9b-b502608205e5,7174ea45-8644-481c-b767-b7f12c25fd68,1.0,410622.6591136288
222.214.219.199:7777,5ab38e34-c1a6-478e-ae9b-b502608205e5,bc325a7a-45c7-43f5-8b0f-0dcaf64a9e57,10.0,2109470.937448869
222.214.219.199:7777,61e021aa-be64-478c-b629-2b765c056351,9cfc0a4b-b07a-482d-9a28-8399f7795f0f,,
222.214.219.199:7777,61e021aa-be64-478c-b629-2b765c056351,af91b855-9c07-4341-8426-f844a39ad14c,1.0,396878.69310620177
222.214.219.199:7777,61e021aa-be64-478c-b629-2b765c056351,9401c51e-bd64-45ce-88a0-f9a5ecc224fc,8.0,2569717.3813643516
222.214.219.199:7777,61e021aa-be64-478c-b629-2b765c056351,af07d920-533f-4b8f-bc72-bde5e1d6c61b,10.0,2595054.0665550376
cesginc.com,02d466c5-ba4f-4bed-8651-7efbbed94d54,602a79f1-4429-403e-9966-2f69c0c54f1e,,
cesginc.com,02d466c5-ba4f-4bed-8651-7efbbed94d54,f2257478-2a8e-436b-b3cf-97038db9a212,1.0,10343026.336555533
cesginc.com,02d466c5-ba4f-4bed-8651-7efbbed94d54,98f952e1-5d2b-493c-88e7-4b555578b430,8.0,42420350.58338249
cesginc.com,02d466c5-ba4f-4bed-8651-7efbbed94d54,8ef4a069-c736-447d-bf20-d4f1dcb380fd,10.0,48695548.28784925
cesginc.com,8a3107e8-772e-41ac-8d90-550684e1c371,85586b0e-7b69-4389-a435-f6a7adc1d0c9,,
cesginc.com,8a3107e8-772e-41ac-8d90-550684e1c371,2f4843a9-099f-44b2-a8e9-8e62b17770a9,1.0,8555613.658616187
cesginc.com,8a3107e8-772e-41ac-8d90-550684e1c371,76878b9a-35a4-44dd-9197-e13383ccbcad,8.0,34101195.82094905
cesginc.com,8a3107e8-772e-41ac-8d90-550684e1c371,4c35d901-992b-4e79-82c9-821ff63c79fc,10.0,49393486.26978799
cesginc.com,0ed9699b-b898-458d-9e49-907e4c907d65,c8c1a58d-2aaf-4f52-ad99-e58ecf34d060,,
cesginc.com,0ed9699b-b898-458d-9e49-907e4c907d65,2f9a98c9-b209-45b7-a10e-dd29248c9782,1.0,31631252.187028658
cesginc.com,0ed9699b-b898-458d-9e49-907e4c907d65,a560ddef-9b91-40f8-99c9-00c44216b8b9,8.0,138502032.98633868
cesginc.com,0ed9699b-b898-458d-9e49-907e4c907d65,a31d9578-11bc-40bb-a86d-aafcb8087458,10.0,97949590.01664661
cesginc.com,29ec95d8-cbee-4907-8444-3f12da6a7426,25518521-3908-4be7-b6e8-cbbb3db73b7d,8.0,100032608.75065966
cesginc.com,29ec95d8-cbee-4907-8444-3f12da6a7426,b12d73b0-20be-4c8b-9f2e-bee48f0f36a4,10.0,109609207.10704942
f010479.twinquasar.io,aef4f589-395e-4fed-b4a0-90e6ad20134a,cf6477b1-fb9d-4f0e-b02f-b5a1fb2e3cdb,,
f010479.twinquasar.io,aef4f589-395e-4fed-b4a0-90e6ad20134a,f0e62280-8141-43f2-98d4-99a8f1c4066e,8.0,41616.87395181243
f010479.twinquasar.io,aef4f589-395e-4fed-b4a0-90e6ad20134a,05e81d10-ea99-46c5-9856-54482b14ddcf,10.0,8335262.40063593
47.254.47.133:58420,e21fde0b-243c-42c1-81c3-32b49651dbdd,f6974bdf-b0b3-49e3-bea8-17158d650531,,
47.254.47.133:58420,e21fde0b-243c-42c1-81c3-32b49651dbdd,423380c4-2a5a-43c5-9b36-7f47343f54a7,8.0,138324.14608483567
47.254.47.133:58420,e21fde0b-243c-42c1-81c3-32b49651dbdd,9e454ee0-3f51-40c9-b209-cb04a813b102,10.0,138260.57251649306
47.254.47.133:58420,3ed65aec-5697-404b-b869-567804eec977,33f37e53-d6ec-4cb6-a7b4-da852b28a58f,8.0,136926.27307581596
47.254.47.133:58420,3ed65aec-5697-404b-b869-567804eec977,128b1da1-12db-4085-840a-8a87c486454e,10.0,136739.8440714845
cesginc.com,f1743201-f2e6-422e-b94f-44561cc3aa37,f6d641a5-8b16-4f58-b7d6-7776ab813d7f,8.0,92211403.60031143
cesginc.com,f1743201-f2e6-422e-b94f-44561cc3aa37,0827d378-0c4c-4af9-9fa6-5a330ba98c97,10.0,92020715.84036176
cesginc.com,3c8196f3-313b-4a84-94a1-c49684dc10fe,b24a58fa-3499-4f06-941d-cf4f89e75edf,8.0,78322512.98124622
cesginc.com,3c8196f3-313b-4a84-94a1-c49684dc10fe,65de365a-da58-4b2d-b2c0-695695c558ec,10.0,123996399.58035432
54.209.183.46:7777,023624df-e299-4cdd-8228-2c529182642d,bb21188c-3636-4633-bf6f-b269bbc54048,8.0,7346960.098170093
54.209.183.46:7777,023624df-e299-4cdd-8228-2c529182642d,ee6af797-848b-477f-a57f-2491762e3a67,10.0,6617658.299521548
