sub_job_id,mean_bps,max_bps,median_bps,p90_max_bps
90dcd4ed-2387-43a4-9bcb-25d676c8ed0e,3231666.7637187913,9495344.0,3292028.0,5179496.0
91054405-330d-4f3d-b648-b8ee64527891,160454736.78557009,361750677.0,86845100.0,231821312.0
95649ddf-e6d1-433c-a1be-b5bfd0a5e0ad,45652671.89100024,82233378.0,41326241.0,61843430.0
96ce0407-dd17-46c2-86f9-9c6cdc0422c8,10569649.557393027,22623552.0,11119916.0,16027616.0
98f952e1-5d2b-493c-88e7-4b555578b430,42420350.58338249,85884928.0,34021376.0,64012288.0
9b6b74aa-de3c-46ea-a42c-df737ab824ae,21158596.056117736,47533496.0,20797858.0,31192440.0
9e454ee0-3f51-40c9-b209-cb04a813b102,138260.57251649306,544840.0,123080.0,250504.0
9ed2a16d-c4d3-409c-b7b1-8679a5b01a3e,267891827.04203954,310438744.0,228926628.0,239242848.0
9f89a1dc-139f-4e79-aa1c-79a7cefd3c9a,434249867.4669039,484308680.0,280042204.0,153037248.0
9fc0bc38-154a-4387-b1e5-9f2143fa5815,124105.12587330183,617644.0,169090.0,361348.0
a060f665-db3b-4796-91ba-de68a213e1f2,1108120.2087525988,2780612.0,1027840.0,1981708.0
a10c50d0-6b2a-4d16-8ba4-dc9eb0774c46,150563.0703916056,665894.0,132492.0,359104.0
a14f7205-7557-412a-bdee-93ddf94c114d,136564.15464250458,565686.0,127404.0,238920.0
a2938374-b5b4-49c7-960a-b1e8f306078d,42182590.6388754,70523392.0,41727740.0,58238560.0
a31d9578-11bc-40bb-a86d-aafcb8087458,97949590.01664661,123895808.0,98451456.0,111575040.0
a40ae954-9fb9-436c-974e-a370148900ff,11869982.791430041,23020032.0,11160460.0,17489664.0
a560ddef-9b91-40f8-99c9-00c44216b8b9,138502032.98633868,208011264.0,137322037.0,161677312.0
a686db8a-50cc-4775-8295-e79df5e312e3,101437520.51927677,169093360.0,100386744.0,151645696.0
a86e3979-8f37-4d4f-92ae-8969d2056fbc,252697751.7210977,306031904.0,223988800.0,229123144.0
ab66b178-317a-43bd-b6da-70da8fe155b9,1847501.0670695424,3373488.0,1838140.0,2523044.0
abda52b8-f1d5-4747-b163-96cb3bc04959,40226219.5262804,79137544.0,35203776.0,51140464.0
ae467b13-6d06-4b14-8553-6f1276d3acc6,137913.34750880254,1338234.0,119460.0,245010.0
b003ece1-ff38-48f8-84f6-0cac153b5bcd,202382184.0283599,380705709.0,155376544.0,170824872.0
b12d73b0-20be-4c8b-9f2e-bee48f0f36a4,109609207.10704942,150110208.0,105234432.0,132628480.0
b24a58fa-3499-4f06-941d-cf4f89e75edf,78322512.98124622,117653504.0,74530816.0,81723392.0
b4453069-05c2-4edb-9a03-c195771d1638,16620252.2449125,39568664.0,14915848.0,28237448.0
b64e9450-e294-4bd6-a13c-17545105f102,33126026.91800486,67026628.0,31821248.0,44735620.0
b88d8755-2b06-4a79-a4f3-1d772164f374,130572.85404238504,504120.0,123804.0,233128.0
b8bb508b-2fe0-44c6-8f94-bb857430e028,3155221.474156507,11126968.0,3202804.0,5743720.0
b8d9a3d4-83b2-4297-a57b-ad2617f4ad54,11710856.482340124,21141376.0,11066776.0,16230632.0
b8f7da85-d931-4fc7-9f7d-9a46520eba3a,33899046.37944451,62970624.0,37638588.0,49633096.0
ba650328-38b7-4b91-a706-8b5f1d15b5a1,13772951.220581356,38860562.0,11930796.0,23644072.0
ba69ad08-aa04-4401-9b76-53768b15554a,38209878.52790983,64762010.0,37525724.0,53495440.0
bb21188c-3636-4633-bf6f-b269bbc54048,7346960.098170093,39289316.0,14831531.5,26022984.0
bb3e9226-f97d-4df5-8ed5-6e6b85816b91,116339107.28304036,156521520.0,132659374.0,154386664.0
bc439237-b3f3-4e0f-95c2-f03048006564,15233049.475709153,42575876.0,14904264.0,24171664.0
c2d64a94-f1f1-4f90-88ed-06a5d19ee940,188426141.22415188,362349128.0,132898694.5,272679344.0
c40033dd-289e-4e79-b0a4-e4fd62a8da97,18416976.413206592,45431000.0,15692720.0,32339632.0
c40afbb4-0293-491b-b2b4-6cc57abba68b,129854638.6175679,174769256.0,150320298.5,167765061.0
c46680d9-7db6-4cf7-9710-5fee077e33e0,119357723.47408679,154649862.0,130629190.0,151292394.0
c50d64aa-1d7f-440f-a3b3-fb72901f425a,521493662.3794517,301599880.0,301599880.0,301599880.0
c594674c-4fc8-47f0-aa9d-ded657afc987,916037.9221503179,2060544.0,882876.0,1498608.0
c5b4f757-4e3d-4bf5-9392-ff798c5de974,112045354.8185526,147897440.0,127177912.0,145675324.0
c6a1d43f-c2ec-499e-b2cb-ec8b8f8ddd36,7190356.093418716,14019640.0,7256020.0,10436088.0
c6c6149a-decf-41f2-a962-2027d9f62b02,141626.78034848874,1364428.0,149144.0,340280.0
ca3717c3-902b-4c92-b616-f9ac505da8b9,9861712.64185545,74231200.0,28404828.0,54158368.0
cab055bc-39d4-40a0-a59f-d34e3a3f2359,12119610.757332917,19471448.0,11836876.0,16203120.0
